filename,timestamp,value,label
0012,2016-08-12T15:32:30.000Z,72.0,
0012,2016-08-12T15:32:30.008Z,74.0,
0012,2016-08-12T15:32:30.016Z,66.0,
0012,2016-08-12T15:32:30.024Z,64.0,
0012,2016-08-12T15:32:30.032Z,66.0,
0012,2016-08-12T15:32:30.040Z,56.0,
0012,2016-08-12T15:32:30.048Z,52.0,
0012,2016-08-12T15:32:30.056Z,56.0,
0012,2016-08-12T15:32:30.064Z,42.0,
0012,2016-08-12T15:32:30.072Z,26.0,
0012,2016-08-12T15:32:30.080Z,28.0,
0012,2016-08-12T15:32:30.088Z,26.0,
0012,2016-08-12T15:32:30.096Z,24.0,
0012,2016-08-12T15:32:30.104Z,28.0,
0012,2016-08-12T15:32:30.112Z,30.0,
0012,2016-08-12T15:32:30.120Z,30.0,
0012,2016-08-12T15:32:30.128Z,26.0,
0012,2016-08-12T15:32:30.136Z,26.0,
0012,2016-08-12T15:32:30.144Z,34.0,
0012,2016-08-12T15:32:30.152Z,40.0,
0012,2016-08-12T15:32:30.160Z,38.0,
0012,2016-08-12T15:32:30.168Z,44.0,
0012,2016-08-12T15:32:30.176Z,48.0,
0012,2016-08-12T15:32:30.184Z,48.0,
0012,2016-08-12T15:32:30.192Z,46.0,
0012,2016-08-12T15:32:30.200Z,42.0,
0012,2016-08-12T15:32:30.208Z,38.0,
0012,2016-08-12T15:32:30.216Z,24.0,
0012,2016-08-12T15:32:30.224Z,24.0,
0012,2016-08-12T15:32:30.232Z,14.0,
0012,2016-08-12T15:32:30.240Z,10.0,
0012,2016-08-12T15:32:30.248Z,8.0,
0012,2016-08-12T15:32:30.256Z,6.0,
0012,2016-08-12T15:32:30.264Z,8.0,
0012,2016-08-12T15:32:30.272Z,8.0,
0012,2016-08-12T15:32:30.280Z,6.0,
0012,2016-08-12T15:32:30.288Z,2.0,
0012,2016-08-12T15:32:30.296Z,0.0,
0012,2016-08-12T15:32:30.304Z,6.0,
0012,2016-08-12T15:32:30.312Z,-2.0,
0012,2016-08-12T15:32:30.320Z,-14.0,
0012,2016-08-12T15:32:30.328Z,60.0,
0012,2016-08-12T15:32:30.336Z,206.0,
0012,2016-08-12T15:32:30.344Z,368.0,
0012,2016-08-12T15:32:30.352Z,284.0,
0012,2016-08-12T15:32:30.360Z,56.0,
0012,2016-08-12T15:32:30.368Z,-52.0,
0012,2016-08-12T15:32:30.376Z,-64.0,
0012,2016-08-12T15:32:30.384Z,-12.0,
0012,2016-08-12T15:32:30.392Z,14.0,
0012,2016-08-12T15:32:30.400Z,20.0,
0012,2016-08-12T15:32:30.408Z,22.0,
0012,2016-08-12T15:32:30.416Z,28.0,
0012,2016-08-12T15:32:30.424Z,32.0,
0012,2016-08-12T15:32:30.432Z,36.0,
